timestamp,A,B,C,Yaw
13800,,,,-77
13836,3,,,
13872,,3,,
13908,,,15,
13944,,,,-77
13980,3,,,
14017,,3,,
14053,,,15,
14089,,,,-77
14125,3,,,
14161,,2,,
14198,,,15,
14234,,,,-77
14270,3,,,
14307,,3,,
14343,,,15,
14379,,,,-77
14415,3,,,
14451,,2,,
14487,,,15,
14523,,,,-77
14559,3,,,
14595,,3,,
14631,,,12,
14667,,,,-75
14703,3,,,
14739,,0,,
14775,,,3,
14811,,,,-75
14847,3,,,
14884,,1,,
14920,,,2,
14956,,,,-75
14992,3,,,
15028,,1,,
15064,,,2,
15100,,,,-75
15136,3,,,
15172,,1,,
15208,,,2,
15244,,,,-75
15280,3,,,
15316,,1,,
15352,,,2,
15388,,,,-75
15424,3,,,
15460,,1,,
15496,,,2,
15532,,,,-75
15568,2,,,
15604,,1,,
15640,,,2,
15676,,,,-75
15712,2,,,
15748,,1,,
15784,,,2,
15820,,,,-75
15856,2,,,
15892,,9,,
15928,,,3,
15964,,,,-75
16000,27,,,
16036,,48,,
16072,,,3,
16108,,,,-75
16144,81,,,
16180,,99,,
16216,,,3,
16252,,,,-75
16288,123,,,
16324,,137,,
16360,,,3,
16396,,,,-74
16432,155,,,
16468,,168,,
16504,,,3,
16540,,,,-73
16576,195,,,
16612,,207,,
16648,,,3,
16684,,,,-73
16720,240,,,
16756,,251,,
16792,,,3,
16828,,,,-72
16864,280,,,
16900,,288,,
16936,,,4,
16972,,,,-71
17008,317,,,
17044,,325,,
17080,,,4,
17116,,,,-71
17152,355,,,
17188,,363,,
17224,,,5,
17260,,,,-70
17296,395,,,
17332,,401,,
17368,,,5,
17404,,,,-69
17440,435,,,
17476,,438,,
17512,,,5,
17548,,,,-68
17584,476,,,
17620,,478,,
17656,,,5,
17692,,,,-67
17728,512,,,
17764,,520,,
17800,,,5,
17836,,,,-66
17872,548,,,
17909,,556,,
17945,,,5,
17981,,,,-65
18017,589,,,
18053,,595,,
18089,,,5,
18125,,,,-64
18161,632,,,
18197,,633,,
18233,,,5,
18269,,,,-63
18305,672,,,
18341,,672,,
18377,,,5,
18413,,,,-62
18449,709,,,
18485,,710,,
18521,,,5,
18557,,,,-61
18593,748,,,
18629,,749,,
18665,,,5,
18701,,,,-60
18737,787,,,
18773,,786,,
18809,,,5,
18845,,,,-60
18881,828,,,
18917,,826,,
18953,,,5,
18989,,,,-59
19025,866,,,
19061,,871,,
19097,,,5,
19133,,,,-58
19169,899,,,
19205,,906,,
19241,,,5,
19277,,,,-57
19313,940,,,
19349,,947,,
19385,,,5,
19421,,,,-56
19457,981,,,
19493,,983,,
19529,,,5,
19565,,,,-55
19601,1022,,,
19637,,1022,,
19673,,,5,
19709,,,,-54
19745,1060,,,
19781,,1061,,
19817,,,5,
19853,,,,-53
19889,1085,,,
19925,,1078,,
19962,,,5,
19998,,,,-53
20034,1083,,,
20070,,1075,,
20107,,,5,
20143,,,,-53
20179,1084,,,
20215,,1076,,
20251,,,5,
20287,,,,-53
20323,1084,,,
20359,,1076,,
20395,,,5,
20431,,,,-53
20467,1084,,,
20503,,1076,,
20539,,,5,
20575,,,,-53
20611,1084,,,
20647,,1076,,
20683,,,5,
20719,,,,-53
20756,1084,,,
20793,,1076,,
20829,,,5,
20865,,,,-53
